,学科,科目,学员性别,学员年龄,薪酬水平,乘车补贴,学员状态,就读学校,教授时间,blank,居住区域,交通线路,blank,性别要求,需求人数,资格要求1,资格要求2,教学方式,状态
0,全科家教,三年级家教,男,8,140 /2h,无,"两个孩子 一个开学3年级 两个孩子 一个开学一年级  看着做功课
提高型,主要学习习惯培养，辅导其次",,周一到周四每天1点-3点  一周4次 一次2H,,康桥,康桥路御水路,,女,1人,在校教员，有耐心的，有辅导经验的， 会跟孩子沟通，懂得培养孩子学习习惯,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
1,数学英语家教,幼儿家教,女,,协商,无,准备考国际小学的，对数学英语都是有要求。数学逻辑思维的，最好百花里面或着学而思里面带过的 现在中班将来需要考国际双语小学,,暑假，下午5点以后，一周1到2次,,,三林西泰林路,,女,1人,专职教师，有经验的，负责一点的，要对幼升小有经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
2,英语家教,高三家教,女,,协商,无,开学高三 英语背单词及作业辅导,,暑假一周次数暂定1次 一次2小时,,,凉城路139弄凉城路139弄交界附近，8号线龙之梦换公交车21/975,,女,1人,在校教员，有补习家教经验 有耐心 上外或者师范类的大学生 一定是要带过高中英语家教经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
3,英语、数学家教,初一家教,女,14,300/2h,无,开学初一，提高型，巩固之前的，提前预习初一的,,暑假一周2-3次，周一三五下午1-4点，一次2个小时，开学以后周五晚上6点30，周六下午1-4点,,新华路,中山西路九九园交界附近，地铁3、4、10号线虹桥路站,,无,2人,在职教师，专业一点的，耐心，负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
4,数学家教,五年级家教,女,,协商,无,成绩一般，数学需要提高，开学六年级，最好可以顺带语文和英语作业,位育实验学校,一周2-3次，8月开始正式上课,,,陕西南路巨鹿路,,女,1人,在校教员，希望专业一点，能够负责任一点 家教经验丰富的,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,学员上门",['发布中']
5,钢琴家教,三年级家教,男,,协商,无,有基础，学了一年多，没有考级，7月底考级,海南的学校,一周1-2次，一次1小时，时间协商，8月头有一周不需要上课,,九亭,涞寅路九杜路交界附近，沪亭北路,,无,1人,在校教员，有辅导经验，耐心一点，专业一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
6,数学英语家教,六年级家教,女,,120/2h,无,开学初一，辅导功课，巩固6年级的知识，英语补语法,,一周5次，一次2个小时，周一到周五白天,,,漕宝路静安新城交界附近，静安新城,,女,1人,在校教员，有辅导经验的，耐心一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
7,游泳 家教,二年级家教,女,,150/1h,无,开学二年级 零基础  有场地的,,一周3次，周一 周三 周四的下午 一周3次 一次一个小时,,,枣阳路兰溪路交界附近，曹杨影城附近,,女,1人,在校教员，游泳擅长的女孩子  突击学习,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
8,西班牙语家教,四年级家教,女,11,协商,无,会基础拼读 希望开始学语法。,,暑假周六周日下午2点左右 一周1-2次 2小时 开学后也需要,,方松街道,玉树路思贤路交界附近，9号线松江新城,,无,1人,在校教员，性格活泼一些 有带过西班牙语的补习经验 有耐心,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
9,英语家教,六年级家教,男,,150/2h,无,开学6年级，基础中等，听力和音标有点薄弱一点,,一周2次，一次2个小时，上午,,梅陇,上中西路朱梅小区,,女,1人,在校教员，有辅导经验，耐心一点，负责，擅长英语,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
10,学前教育家教,幼儿家教,女,4岁,协商,无,升中班，数学思维训练，看图说话。,,周日中午11点到1点，或者晚上7点以后，一周一次，一次2个小时。,,,昌平路康定路交界附近，7号线昌平路,,女,1人,在校教员，有补课经验的，有耐心的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
11,数学家教,高三家教,男,,协商,无,"补差型,英语词汇，作文，完型，数学基础较差，要每种题型分步骤细心讲解",,暑假一三五早上 一周3次,,国和新村,国和二村欧尚附近交界附近，8号线嫩江路步行10分钟以内,,无,1人,在校教员，优先要在校大一新生或者大二的，数学底子好的，分数高的，最好是外省市熟知安徽教材的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
12,语文家教,初一家教,女,,350/2h,无,阅读理解和写作，成绩不理想，基础不好,,暑假期间隔天上，一次两个小时,,,武定西路1398弄交界附近，2号 11号线,,女,1人,在职教师，耐心，有经验的， 女老师优先,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
13,化学家教,初二家教,女,,400/2h,无,9月份初三，成绩一般，提高。预习初三的新课。,上师大附中,暑假7月份开始，周一三周五上午10点到12点，一周2次，一次两个小时。,,,梅川路嘉泰花园交界附近，13号线祁连山南路下来步行1.8公里,,无,1人,在职教师，有补课经验的 耐心，负责一点，最好是女老师。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
14,钢琴家教,成人家教,女,25,300/45分钟,无,学过几年 有点基础，需要提高,,两周1-2次，一次45/分钟,,,学生上门学生上门,,无,1人,要专业学院的研究生，像上音，中国，中央,钢琴表演专业,学员要求看简历，有意向的教员请认真完善简历。,['发布中']
15,钢琴家教,六年级家教,女,12,协商,无,今年8月份考上海音乐学院8级之后想要继续考级,,一周一次，一次1小时，周末时间协商,,共富新村,水产西路富长路,,女,1人,专职教师，耐心，负责，有考级经验，乐理也可以带的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
